variant,label,trading_days,total_return,cagr,annual_volatility,sharpe_zero_rf,sortino_zero_rf,calmar,max_drawdown,positive_day_rate,profit_factor_daily,best_day,worst_day,average_daily_turnover,annualized_turnover,total_cost_ratio,final_equity_multiple,average_exposure,hard_stop_count,trailing_stop_count,reentry_blocked_sessions,confirmed_reentries
A0_LEGACY,기존 연구 리플레이,107,0.2815812792140422,0.7937309392626395,0.4666198352466978,1.4866110019565588,1.9816927706224603,4.943900957370717,-0.1605475000625345,0.5607476635514018,1.2876627770597708,0.06678976646219562,-0.10470327573365842,0.08970530207179184,22.605736122091542,0.018818038020422867,1.2815812792140422,0.8979754111406091,0,0,0,0
X_CAP15_ONLY,진단: 15% 상한만,107,0.07319934922754068,0.18101834736777644,0.4250173971712421,0.6049542131178347,0.7205876990634134,1.046249440775275,-0.17301643404811873,0.5700934579439252,1.1152227367085517,0.08967470340525377,-0.11571517192097058,0.07194095754482936,18.129121301296998,0.015298185346640259,1.0731993492275407,0.7476863791785414,0,0,0,0
A_CURRENT,현재 규칙 근사,107,0.011927997831229664,0.02831946896243398,0.37372228088096554,0.2623446776665553,0.31281789196502713,0.14457802785753635,-0.19587671364793613,0.5514018691588785,1.0475120234215125,0.07153958748018818,-0.09345469224350321,0.14174849821892943,35.72062155117022,0.03086733160826885,1.0119279978312297,0.6427336117473744,32,39,0,0
X_COOLDOWN5,진단: 현재+5일 재진입 금지,107,-0.07554154859039575,-0.168887071491157,0.30642034801810664,-0.44924010404108483,-0.5107058160672248,-0.7153902299851304,-0.23607684926682238,0.5327102803738317,0.9237663621015368,0.03592425096828571,-0.07653322108282985,0.11413070497287225,28.760937653163808,0.024803072362868727,0.9244584514096043,0.517352853105276,13,35,0,0
R_EXIT_RECOVERY,청산가 회복 2일 확인,107,0.03491588969996684,0.08418524861403487,0.2862728235320267,0.4265138728071499,0.46132650108870515,0.47288420183442176,-0.17802508158966146,0.5327102803738317,1.0816702742452953,0.03679207368129769,-0.08105179211733102,0.09308199650142214,23.456663118358378,0.020049504945471364,1.0349158896999668,0.43884515759524007,16,19,435,15
R_TREND_REARM,추세 재무장 3일 확인,107,0.055445328556058326,0.13551913711370722,0.2638534553264657,0.6135083416798989,0.7100560962085989,0.8828704388714961,-0.15349832902654514,0.4953271028037383,1.122595768040807,0.0514846691345992,-0.05963081389916893,0.0846052705186097,21.32052817068964,0.01817876741514448,1.0554453285560583,0.4029304071612145,12,19,468,12
B_EQUAL,동일 비중,107,0.0163406229751486,0.03891137667135758,0.32933163226704576,0.28093807987637287,0.3502029884891499,0.22603820162888796,-0.17214513472038107,0.5514018691588785,1.0483554846470942,0.04200870039546281,-0.06966515777782507,0.14339378253105897,36.135233197826864,0.030933349894034318,1.0163406229751486,0.6503784020747255,26,39,0,0
C_CAP10,종목 상한 10%,107,0.035557931945919385,0.08577000072464758,0.274596417717797,0.43688747229112723,0.5280965665074023,0.7148166990560758,-0.11998880389603084,0.5607476635514018,1.0786638787738756,0.057363693593607636,-0.06520702461432187,0.09689305365968058,24.417049522239505,0.021025691497165648,1.0355579319459194,0.5041696189946139,21,40,0,0
C_CAP08,종목 상한 8%,107,0.0004458645869382938,0.0010503908553360919,0.2194127107734855,0.11530327582574035,0.11905594429041706,0.007933476441149705,-0.13239982032188036,0.5887850467289719,1.0211551069664715,0.03032724218617212,-0.07295097027852325,0.07740730899025092,19.50664186554323,0.016801617082772703,1.0004458645869383,0.3748921439297853,20,36,0,0
D_BAND20,리밸런싱 밴드 20%,107,0.07114440135999733,0.17569934574192603,0.3582236411267218,0.6307815895302481,0.8273861746418416,1.047160582457134,-0.167786439525495,0.5700934579439252,1.1119173845107426,0.06484933552350465,-0.07903931513485686,0.1468586674013056,37.00838418512901,0.031831472309049036,1.0711444013599973,0.6727235943043169,21,35,0,0
E_VOL_RISK,변동성 조절·강화 손절,107,-0.029269592097750485,-0.06757163938714295,0.2139099547528115,-0.21996116690946993,-0.24031389160250646,-0.4809357758691345,-0.1405003386679422,0.5046728971962616,0.9601373057557555,0.025212855806136702,-0.04978378897404977,0.09370492330254399,23.613640672241083,0.02039795904044801,0.9707304079022495,0.32638925419439235,19,40,0,0
